species,Freeze.tmin.lo
Manilkara jaimiqui,FreezingUnexposed
Manilkara kauki,FreezingUnexposed
Manilkara lacera,FreezingUnexposed
Manilkara longiciliata,FreezingUnexposed
Manilkara maxima,FreezingUnexposed
Manilkara mochisia,FreezingUnexposed
Manilkara multinervis,FreezingUnexposed
Manilkara obovata,FreezingUnexposed
Manilkara paraensis,FreezingUnexposed
Manilkara pellegriniana,FreezingUnexposed
Manilkara pleeana,FreezingUnexposed
Manilkara rufula,FreezingUnexposed
Manilkara salzmannii,FreezingUnexposed
Manilkara sansibarensis,FreezingUnexposed
Manilkara staminodella,FreezingUnexposed
Manilkara sulcata,FreezingUnexposed
Manilkara surinamensis,FreezingUnexposed
Manilkara triflora,FreezingUnexposed
Manilkara venulosa,FreezingUnexposed
Manilkara zapota,FreezingUnexposed
Maniltoa plurijuga,FreezingUnexposed
Maniltoa polyandra,FreezingUnexposed
Maniltoa psilogyne,FreezingUnexposed
Manochlamys albicans,FreezingUnexposed
Manotes expansa,FreezingUnexposed
Manotes griffoniana,FreezingUnexposed
Manotes macrantha,FreezingUnexposed
Mansoa alliacea,FreezingUnexposed
Mansoa kerere,FreezingUnexposed
Mansoa verrucifera,FreezingUnexposed
Mansonia altissima,FreezingUnexposed
Mansonia gagei,FreezingUnexposed
Maoutia australis,FreezingUnexposed
Mapania cuspidata,FreezingUnexposed
Mappia longipes,FreezingUnexposed
Mappia racemosa,FreezingUnexposed
Maprounea africana,FreezingUnexposed
Maprounea guianensis,FreezingUnexposed
Maquira calophylla,FreezingUnexposed
Maquira coriacea,FreezingUnexposed
Maquira costaricana,FreezingUnexposed
Maquira guianensis,FreezingUnexposed
Maquira sclerophylla,FreezingUnexposed
Marah fabaceus,FreezingExposed
Marah macrocarpus,FreezingUnexposed
Maranta arundinacea,FreezingUnexposed
Maranta bicolor,FreezingExposed
Maranta gibba,FreezingUnexposed
Maranthes aubrevillei,FreezingUnexposed
Maranthes corymbosa,FreezingUnexposed
Maranthes floribunda,FreezingUnexposed
Maranthes gabunensis,FreezingUnexposed
Maranthes glabra,FreezingUnexposed
Maranthes goetzeniana,FreezingUnexposed
Maranthes kerstingii,FreezingUnexposed
Maranthes panamensis,FreezingUnexposed
Maranthes polyandra,FreezingUnexposed
Maranthes robusta,FreezingUnexposed
Marantochloa cordifolia,FreezingUnexposed
Marantochloa holostachya,FreezingUnexposed
Marantochloa leucantha,FreezingUnexposed
Marantochloa mildbraedii,FreezingUnexposed
Marantochloa purpurea,FreezingUnexposed
Marcgravia brownei,FreezingUnexposed
Marcgravia coriacea,FreezingUnexposed
Marcgravia crenata,FreezingUnexposed
Marcgravia mexicana,FreezingUnexposed
Marcgravia nepenthoides,FreezingUnexposed
Marcgravia oligandra,FreezingUnexposed
Marcgravia pedunculosa,FreezingUnexposed
Marcgravia polyantha,FreezingUnexposed
Marcgravia purpurea,FreezingUnexposed
Marcgravia rectiflora,FreezingUnexposed
Marcgravia schippii,FreezingUnexposed
Marcgravia sintenisii,FreezingUnexposed
Marcgravia stonei,FreezingUnexposed
Marcgravia tobagensis,FreezingUnexposed
Marcgravia umbellata,FreezingUnexposed
Mareya micrantha,FreezingUnexposed
Mareyopsis longifolia,FreezingUnexposed
Margaritaria anomala,FreezingUnexposed
Margaritaria decaryana,FreezingUnexposed
Margaritaria discoidea,FreezingUnexposed
Margaritaria indica,FreezingUnexposed
Margaritaria nobilis,FreezingUnexposed
Margaritaria rhomboidalis,FreezingUnexposed
Margyricarpus pinnatus,FreezingExposed
Marianthus bicolor,FreezingUnexposed
Marianthus bignoniaceus,FreezingUnexposed
Marianthus erubescens,FreezingUnexposed
Marianthus granulatus,FreezingUnexposed
Marianthus mollis,FreezingUnexposed
Marianthus paralius,FreezingUnexposed
Marila alternifolia,FreezingUnexposed
Marila grandiflora,FreezingUnexposed
Marila laxiflora,FreezingUnexposed
Marila tomentosa,FreezingUnexposed
Maripa panamensis,FreezingUnexposed
Maripa peruviana,FreezingUnexposed
Markea ulei,FreezingUnexposed
Markhamia acuminata,FreezingUnexposed
Markhamia cauda-felina,FreezingUnexposed
Markhamia lutea,FreezingUnexposed
Markhamia obtusifolia,FreezingUnexposed
Markhamia platycalyx,FreezingUnexposed
Markhamia stipulata,FreezingUnexposed
Markhamia tomentosa,FreezingUnexposed
Markhamia zanzibarica,FreezingUnexposed
Marlierea eugeniopsoides,FreezingUnexposed
Marlierea montana,FreezingUnexposed
Marlierea reitzii,FreezingUnexposed
Marlierea schomburgkiana,FreezingUnexposed
Marlierea tomentosa,FreezingUnexposed
Marlieriopsis eggersii,FreezingUnexposed
Marmaroxylon basijugum,FreezingUnexposed
Marmaroxylon racemosum,FreezingUnexposed
Marquesia excelsa,FreezingUnexposed
Marrubium alysson,FreezingExposed
Marrubium anisodon,FreezingExposed
Marrubium catariifolium,FreezingExposed
Marrubium incisum,FreezingExposed
Marrubium peregrinum,FreezingExposed
Marrubium vulgare,FreezingExposed
Marsdenia astephanoides,FreezingUnexposed
Marsdenia crassipes,FreezingUnexposed
Marsdenia flavescens,FreezingUnexposed
Marsdenia lanata,FreezingUnexposed
Marsdenia liisae,FreezingUnexposed
Marsdenia rostrata,FreezingUnexposed
Marshallia caespitosa,FreezingExposed
Marsilea aegyptiaca,FreezingUnexposed
Marsilea drummondii,FreezingUnexposed
Marsilea ephippiocarpa,FreezingUnexposed
Marsilea minuta,FreezingUnexposed
Marsilea mutica,FreezingExposed
Marsilea polycarpa,FreezingUnexposed
Marsilea quadrifolia,FreezingExposed
Marsippospermum grandiflorum,FreezingExposed
Marsypianthes chamaedrys,FreezingUnexposed
Marsypopetalum pallidum,FreezingUnexposed
Martinella obovata,FreezingUnexposed
Martiodendron excelsum,FreezingUnexposed
Martiodendron parviflorum,FreezingUnexposed
Martretia quadricornis,FreezingUnexposed
Martynia annua,FreezingUnexposed
Martynia lutea,FreezingExposed
Mascagnia benthamiana,FreezingUnexposed
Mascagnia chlorocarpa,FreezingUnexposed
Mascagnia cordifolia,FreezingUnexposed
Mascagnia dissimilis,FreezingUnexposed
Mascagnia divaricata,FreezingUnexposed
Mascagnia glandulifera,FreezingUnexposed
Mascagnia hippocrateoides,FreezingUnexposed
Mascagnia lasiandra,FreezingUnexposed
Mascagnia macrodisca,FreezingUnexposed
Mascagnia macrophylla,FreezingUnexposed
Mascagnia macroptera,FreezingUnexposed
Mascagnia nervosa,FreezingUnexposed
Mascagnia parvifolia,FreezingUnexposed
Mascagnia polybotrya,FreezingUnexposed
Mascagnia psilophylla,FreezingUnexposed
Mascagnia rigida,FreezingUnexposed
Mascagnia vacciniifolia,FreezingUnexposed
Mascarenhasia arborescens,FreezingUnexposed
Mascarenhasia lanceolata,FreezingUnexposed
Mascarenhasia lisianthiflora,FreezingUnexposed
Massonia depressa,FreezingUnexposed
Massularia acuminata,FreezingUnexposed
Mastersiella digitata,FreezingUnexposed
Mastigostyla cyrtophylla,FreezingExposed
Mastixia kaniensis,FreezingUnexposed
Mastixiodendron pachyclados,FreezingUnexposed
Mastixiodendron smithii,FreezingUnexposed
Mastixiodendron stoddardii,FreezingUnexposed
Matayba apetala,FreezingUnexposed
Matayba arborescens,FreezingUnexposed
Matayba domingensis,FreezingUnexposed
Matayba glaberrima,FreezingUnexposed
Matayba grandis,FreezingUnexposed
Matayba guianensis,FreezingUnexposed
Matayba inelegans,FreezingUnexposed
Matayba opaca,FreezingUnexposed
Matayba oppositifolia,FreezingUnexposed
Matayba purgans,FreezingUnexposed
Matelea cordifolia,FreezingUnexposed
Matelea quirosii,FreezingUnexposed
Matisia bicolor,FreezingUnexposed
Matisia bracteolosa,FreezingUnexposed
Matisia cordata,FreezingUnexposed
Matisia hirta,FreezingUnexposed
Matisia longiflora,FreezingUnexposed
Matisia malacocalyx,FreezingUnexposed
Matisia obliquifolia,FreezingUnexposed
Matisia oblongifolia,FreezingUnexposed
Matisia ochrocalyx,FreezingUnexposed
Matricaria caucasica,FreezingExposed
Matricaria discoidea,FreezingExposed
Matricaria matricarioides,FreezingExposed
Matricaria perforata,FreezingExposed
Matricaria recutita,FreezingExposed
Matteuccia orientalis,FreezingExposed
Matteuccia struthiopteris,FreezingExposed
Matthiola incana,FreezingExposed
Matthiola parviflora,FreezingExposed
Matthiola sinuata,FreezingUnexposed
Matudaea trinervia,FreezingUnexposed
Mauloutchia chapelieri,FreezingUnexposed
Maundia triglochinoides,FreezingUnexposed
Maurandella antirrhiniflora,FreezingExposed
Mauria heterophylla,FreezingUnexposed
Mauria puberula,FreezingUnexposed
Mauritia flexuosa,FreezingUnexposed
Maxillaria variabilis,FreezingUnexposed
Mayna odorata,FreezingUnexposed
Mayna parvifolia,FreezingUnexposed
Maytenus acuminata,FreezingUnexposed
Maytenus alaternoides,FreezingUnexposed
Maytenus boaria,FreezingExposed
Maytenus canariensis,FreezingExposed
Maytenus cuezzoi,FreezingExposed
Maytenus cunninghamii,FreezingUnexposed
Maytenus disperma,FreezingUnexposed
Maytenus ebenifolia,FreezingUnexposed
Maytenus eggersii,FreezingUnexposed
Maytenus ficiformis,FreezingUnexposed
Maytenus fournieri,FreezingUnexposed
Maytenus heterophylla,FreezingUnexposed
Maytenus ilicifolia,FreezingUnexposed
Maytenus jamaicensis,FreezingUnexposed
Maytenus karstenii,FreezingUnexposed
Maytenus krukovii,FreezingUnexposed
Maytenus laevis,FreezingUnexposed
Maytenus macrocarpa,FreezingUnexposed
Maytenus magellanica,FreezingExposed
Maytenus magnifolia,FreezingUnexposed
Maytenus mossambicensis,FreezingUnexposed
Maytenus myrsinoides,FreezingUnexposed
Maytenus obtusifolia,FreezingUnexposed
Maytenus octogona,FreezingUnexposed
Maytenus oleoides,FreezingExposed
Maytenus peduncularis,FreezingUnexposed
Maytenus ponceana,FreezingUnexposed
Maytenus robusta,FreezingUnexposed
Maytenus schippii,FreezingUnexposed
Maytenus senegalensis,FreezingUnexposed
Maytenus sieberiana,FreezingUnexposed
Maytenus silvestris,FreezingUnexposed
Maytenus undata,FreezingUnexposed
Maytenus vitis-idaea,FreezingUnexposed
Mazus macranthus,FreezingUnexposed
Mazus stachydifolius,FreezingExposed
Mecardonia acuminata,FreezingExposed
Meconopsis integrifolia,FreezingExposed
Mecranium latifolium,FreezingUnexposed
Mecranium purpurascens,FreezingUnexposed
Medemia argun,FreezingUnexposed
Medeola virginiana,FreezingExposed
Medicago arabica,FreezingExposed
Medicago arborea,FreezingExposed
Medicago falcata,FreezingExposed
Medicago heyniana,FreezingUnexposed
Medicago hypogaea,FreezingUnexposed
Medicago laciniata,FreezingExposed
Medicago lupulina,FreezingExposed
Medicago medicaginoides,FreezingExposed
Medicago minima,FreezingExposed
Medicago monantha,FreezingExposed
Medicago monspeliaca,FreezingExposed
Medicago noeana,FreezingExposed
Medicago orbicularis,FreezingExposed
Medicago polyceratia,FreezingExposed
Medicago polymorpha,FreezingExposed
Medicago prostrata,FreezingExposed
Medicago radiata,FreezingExposed
Medicago ruthenica,FreezingExposed
Medicago sativa,FreezingExposed
Medicago truncatula,FreezingExposed
Medicosma cunninghamii,FreezingUnexposed
Medicosma fareana,FreezingUnexposed
Medicosma sessiliflora,FreezingUnexposed
Medusandra richardsiana,FreezingUnexposed
Medusanthera laxiflora,FreezingUnexposed
Medusanthera papuana,FreezingUnexposed
Meeboldina scariosa,FreezingUnexposed
Megahertzia amplexicaulis,FreezingUnexposed
Megaphrynium macrostachyum,FreezingUnexposed
Megaphrynium velutinum,FreezingUnexposed
Megastachya mucronata,FreezingUnexposed
Meineckia paxii,FreezingUnexposed
Meiocarpidium lepidotum,FreezingUnexposed
Meiogyne stenopetala,FreezingUnexposed
Meiogyne virgata,FreezingUnexposed
Meiostemon humbertii,FreezingUnexposed
Melaleuca acacioides,FreezingUnexposed
Melaleuca acerosa,FreezingUnexposed
Melaleuca acuminata,FreezingUnexposed
Melaleuca adnata,FreezingUnexposed
Melaleuca agathosmoides,FreezingUnexposed
Melaleuca alsophila,FreezingUnexposed
Melaleuca alternifolia,FreezingUnexposed
Melaleuca apodocephala,FreezingUnexposed
Melaleuca apostiba,FreezingUnexposed
Melaleuca araucarioides,FreezingUnexposed
Melaleuca arcana,FreezingUnexposed
Melaleuca argentea,FreezingUnexposed
Melaleuca armillaris,FreezingUnexposed
Melaleuca aspalathoides,FreezingUnexposed
Melaleuca atroviridis,FreezingUnexposed
Melaleuca basicephala,FreezingUnexposed
Melaleuca biconvexa,FreezingUnexposed
Melaleuca blaeriifolia,FreezingUnexposed
Melaleuca boeophylla,FreezingUnexposed
Melaleuca borealis,FreezingUnexposed
Melaleuca bracteata,FreezingUnexposed
Melaleuca bracteosa,FreezingUnexposed
Melaleuca brevifolia,FreezingUnexposed
Melaleuca bromelioides,FreezingUnexposed
Melaleuca brongniartii,FreezingUnexposed
Melaleuca brophyi,FreezingUnexposed
Melaleuca cajuputi,FreezingUnexposed
Melaleuca calycina,FreezingUnexposed
Melaleuca calyptroides,FreezingUnexposed
Melaleuca camptoclada,FreezingUnexposed
Melaleuca capitata,FreezingUnexposed
Melaleuca cardiophylla,FreezingUnexposed
Melaleuca carrii,FreezingUnexposed
Melaleuca cheelii,FreezingUnexposed
Melaleuca coccinea,FreezingUnexposed
Melaleuca concinna,FreezingUnexposed
Melaleuca concreta,FreezingUnexposed
Melaleuca conothamnoides,FreezingUnexposed
Melaleuca cordata,FreezingUnexposed
Melaleuca coronicarpa,FreezingUnexposed
Melaleuca ctenoides,FreezingUnexposed
Melaleuca cucullata,FreezingUnexposed
Melaleuca cuticularis,FreezingUnexposed
Melaleuca dealbata,FreezingUnexposed
Melaleuca deanei,FreezingUnexposed
Melaleuca decora,FreezingUnexposed
Melaleuca decussata,FreezingUnexposed
Melaleuca dempta,FreezingUnexposed
Melaleuca densa,FreezingUnexposed
Melaleuca densispicata,FreezingUnexposed
Melaleuca depressa,FreezingUnexposed
Melaleuca diosmatifolia,FreezingUnexposed
Melaleuca diosmifolia,FreezingUnexposed
Melaleuca dissitiflora,FreezingUnexposed
Melaleuca eleuterostachya,FreezingUnexposed
Melaleuca elliptica,FreezingUnexposed
Melaleuca ericifolia,FreezingUnexposed
Melaleuca erubescens,FreezingUnexposed
Melaleuca eximia,FreezingUnexposed
Melaleuca exuvia,FreezingUnexposed
Melaleuca filifolia,FreezingUnexposed
Melaleuca fissurata,FreezingUnexposed
Melaleuca fluviatilis,FreezingUnexposed
Melaleuca foliolosa,FreezingUnexposed
Melaleuca fulgens,FreezingUnexposed
Melaleuca gibbosa,FreezingUnexposed
Melaleuca glaberrima,FreezingUnexposed
Melaleuca globifera,FreezingUnexposed
Melaleuca glomerata,FreezingUnexposed
Melaleuca gnidioides,FreezingUnexposed
Melaleuca grieveana,FreezingUnexposed
Melaleuca groveana,FreezingUnexposed
Melaleuca halmaturorum,FreezingUnexposed
Melaleuca hamata,FreezingUnexposed
Melaleuca hamulosa,FreezingUnexposed
Melaleuca haplantha,FreezingUnexposed
Melaleuca hollidayi,FreezingUnexposed
Melaleuca howeana,FreezingUnexposed
Melaleuca huegelii,FreezingUnexposed
Melaleuca huttensis,FreezingUnexposed
Melaleuca hypericifolia,FreezingUnexposed
Melaleuca idana,FreezingUnexposed
Melaleuca incana,FreezingUnexposed
Melaleuca irbyana,FreezingUnexposed
Melaleuca johnsonii,FreezingUnexposed
Melaleuca laetifica,FreezingUnexposed
Melaleuca lanceolata,FreezingUnexposed
Melaleuca lasiandra,FreezingUnexposed
Melaleuca lateriflora,FreezingUnexposed
Melaleuca lateritia,FreezingUnexposed
Melaleuca laxiflora,FreezingUnexposed
Melaleuca leiocarpa,FreezingUnexposed
Melaleuca leiopyxis,FreezingUnexposed
Melaleuca leptospermoides,FreezingUnexposed
Melaleuca leucadendra,FreezingUnexposed
Melaleuca leuropoma,FreezingUnexposed
Melaleuca linariifolia,FreezingUnexposed
Melaleuca linguiformis,FreezingUnexposed
Melaleuca longistaminea,FreezingUnexposed
Melaleuca macronychia,FreezingUnexposed
Melaleuca manglesii,FreezingUnexposed
Melaleuca megacephala,FreezingUnexposed
Melaleuca microphylla,FreezingUnexposed
Melaleuca minutifolia,FreezingUnexposed
Melaleuca monantha,FreezingUnexposed
Melaleuca nematophylla,FreezingUnexposed
Melaleuca nervosa,FreezingUnexposed
Melaleuca nesophila,FreezingUnexposed
Melaleuca nodosa,FreezingUnexposed
Melaleuca oldfieldii,FreezingUnexposed
Melaleuca orbicularis,FreezingUnexposed
Melaleuca osullivanii,FreezingUnexposed
Melaleuca oxyphylla,FreezingUnexposed
Melaleuca pallescens,FreezingUnexposed
Melaleuca papillosa,FreezingUnexposed
Melaleuca parviceps,FreezingUnexposed
Melaleuca parvistaminea,FreezingExposed
Melaleuca pauciflora,FreezingUnexposed
Melaleuca pauperiflora,FreezingUnexposed
Melaleuca penicula,FreezingUnexposed
Melaleuca pentagona,FreezingUnexposed
Melaleuca platycalyx,FreezingUnexposed
Melaleuca podiocarpa,FreezingUnexposed
Melaleuca polycephala,FreezingUnexposed
Melaleuca preissiana,FreezingUnexposed
Melaleuca pritzelii,FreezingUnexposed
Melaleuca procera,FreezingUnexposed
Melaleuca psammophila,FreezingUnexposed
Melaleuca pulchella,FreezingUnexposed
Melaleuca pungens,FreezingUnexposed
Melaleuca pustulata,FreezingUnexposed
Melaleuca quadrifaria,FreezingUnexposed
Melaleuca quinquenervia,FreezingUnexposed
Melaleuca radula,FreezingUnexposed
Melaleuca rhaphiophylla,FreezingUnexposed
Melaleuca rigidifolia,FreezingUnexposed
Melaleuca ringens,FreezingUnexposed
Melaleuca saligna,FreezingUnexposed
Melaleuca sapientes,FreezingUnexposed
Melaleuca scabra,FreezingUnexposed
Melaleuca scalena,FreezingUnexposed
Melaleuca sciotostyla,FreezingUnexposed
Melaleuca sclerophylla,FreezingUnexposed
Melaleuca seriata,FreezingUnexposed
Melaleuca sheathiana,FreezingUnexposed
Melaleuca sieberi,FreezingUnexposed
Melaleuca similis,FreezingUnexposed
Melaleuca societatis,FreezingUnexposed
Melaleuca spathulata,FreezingUnexposed
Melaleuca squamea,FreezingExposed
Melaleuca squamophloia,FreezingUnexposed
Melaleuca squarrosa,FreezingUnexposed
Melaleuca stenostachya,FreezingUnexposed
Melaleuca stereophloia,FreezingUnexposed
Melaleuca stramentosa,FreezingUnexposed
Melaleuca striata,FreezingUnexposed
Melaleuca strobophylla,FreezingUnexposed
Melaleuca styphelioides,FreezingUnexposed
Melaleuca subalaris,FreezingUnexposed
Melaleuca suberosa,FreezingUnexposed
Melaleuca subfalcata,FreezingUnexposed
Melaleuca subtrigona,FreezingUnexposed
Melaleuca symphyocarpa,FreezingUnexposed
Melaleuca systena,FreezingUnexposed
Melaleuca tamariscina,FreezingUnexposed
Melaleuca teretifolia,FreezingUnexposed
Melaleuca teuthidoides,FreezingUnexposed
Melaleuca thapsina,FreezingUnexposed
Melaleuca thymifolia,FreezingUnexposed
Melaleuca thymoides,FreezingUnexposed
Melaleuca thyoides,FreezingUnexposed
Melaleuca torquata,FreezingUnexposed
Melaleuca tortifolia,FreezingUnexposed
Melaleuca trichophylla,FreezingUnexposed
Melaleuca trichostachya,FreezingUnexposed
Melaleuca tuberculata,FreezingUnexposed
Melaleuca uncinata,FreezingUnexposed
Melaleuca undulata,FreezingUnexposed
Melaleuca urceolaris,FreezingUnexposed
Melaleuca villosisepala,FreezingUnexposed
Melaleuca viminea,FreezingUnexposed
Melaleuca violacea,FreezingUnexposed
Melaleuca viridiflora,FreezingUnexposed
Melaleuca wilsonii,FreezingUnexposed
Melaleuca wonganensis,FreezingUnexposed
Melaleuca xerophila,FreezingUnexposed
Melampyrum arvense,FreezingExposed
Melampyrum cristatum,FreezingExposed
Melampyrum lineare,FreezingExposed
Melampyrum nemorosum,FreezingExposed
Melampyrum pratense,FreezingExposed
Melampyrum roseum,FreezingExposed
Melampyrum sylvaticum,FreezingExposed
Melanocenchris abyssinica,FreezingUnexposed
Melanochyla densiflora,FreezingUnexposed
Melanolepis multiglandulosa,FreezingUnexposed
Melanophylla alnifolia,FreezingUnexposed
Melanophylla crenata,FreezingUnexposed
Melanoxylon brauna,FreezingUnexposed
Melanthera biflora,FreezingUnexposed
Melanthium virginicum,FreezingExposed
Melasma scabrum,FreezingUnexposed
Melastoma affine,FreezingUnexposed
Melastoma candidum,FreezingUnexposed
Melastoma denticulatum,FreezingUnexposed
Melastoma malabathricum,FreezingUnexposed
Melia azedarach,FreezingExposed
Melia azederach,FreezingUnexposed
Melia dubia,FreezingUnexposed
Melia toosendan,FreezingUnexposed
Melia volkensii,FreezingUnexposed
Melianthus major,FreezingExposed
Melica altissima,FreezingExposed
Melica amethystina,FreezingExposed
Melica ciliata,FreezingExposed
Melica grandiflora,FreezingExposed
Melica mutica,FreezingExposed
Melica nitens,FreezingExposed
Melica nutans,FreezingExposed
Melica onoei,FreezingExposed
Melica picta,FreezingExposed
Melica smithii,FreezingExposed
Melica torreyana,FreezingExposed
Melica uniflora,FreezingExposed
Melichrus urceolatus,FreezingExposed
Melicoccus lepidopetalus,FreezingUnexposed
Melicoccus novogranatensis,FreezingUnexposed
Melicope bonwickii,FreezingUnexposed
Melicope clusiifolia,FreezingUnexposed
Melicope confusa,FreezingUnexposed
Melicope denhamii,FreezingUnexposed
Melicope elleryana,FreezingUnexposed
Melicope evansensis,FreezingUnexposed
Melicope glabra,FreezingUnexposed
Melicope hayesii,FreezingUnexposed
Melicope latifolia,FreezingUnexposed
Melicope lunu-ankenda,FreezingUnexposed
Melicope micrococca,FreezingUnexposed
Melicope peduncularis,FreezingUnexposed
Melicope simplex,FreezingExposed
Melicope ternata,FreezingUnexposed
Melicope triphylla,FreezingUnexposed
Melicope vitiflora,FreezingUnexposed
Melicope wawraeana,FreezingUnexposed
Melicope xanthoxyloides,FreezingUnexposed
Melicytus alpinus,FreezingExposed
Melicytus lanceolatus,FreezingExposed
Melicytus macrophyllus,FreezingUnexposed
Melicytus micranthus,FreezingExposed
Melicytus novae-zelandiae,FreezingUnexposed
Melicytus ramiflorus,FreezingExposed
Melilotus albus,FreezingExposed
Melilotus altissimus,FreezingExposed
Melilotus indicus,FreezingExposed
Melilotus officinalis,FreezingExposed
Melilotus suaveolens,FreezingExposed
Melinis minutiflora,FreezingUnexposed
Melinis repens,FreezingExposed
Meliosma brenesii,FreezingUnexposed
Meliosma cuneifolia,FreezingExposed
Meliosma dentata,FreezingExposed
Meliosma dilleniifolia,FreezingExposed
Meliosma donnellsmithii,FreezingUnexposed
Meliosma flexuosa,FreezingExposed
Meliosma glabrata,FreezingUnexposed
Meliosma herbertii,FreezingUnexposed
Meliosma idiopoda,FreezingUnexposed
Meliosma lanceolata,FreezingUnexposed
Meliosma loretoyacuensis,FreezingUnexposed
Meliosma myriantha,FreezingExposed
Meliosma oldhamii,FreezingExposed
Meliosma parviflora,FreezingUnexposed
Meliosma pinnata,FreezingUnexposed
Meliosma rhoifolia,FreezingUnexposed
Meliosma rigida,FreezingExposed
Meliosma sellowii,FreezingUnexposed
Meliosma simplicifolia,FreezingExposed
Meliosma squamulata,FreezingUnexposed
Meliosma sumatrana,FreezingUnexposed
Meliosma tenuis,FreezingExposed
Meliosma vasquezii,FreezingUnexposed
Meliosma vernicosa,FreezingUnexposed
Meliosma yunnanensis,FreezingExposed
Melissa axillaris,FreezingUnexposed
Melissa officinalis,FreezingExposed
Melittis melissophyllum,FreezingExposed
Melliodendron xylocarpum,FreezingExposed
Melochia lupulina,FreezingUnexposed
Melochia pyramidata,FreezingUnexposed
Melochia umbellata,FreezingUnexposed
Melodinus australis,FreezingUnexposed
Melodorum leichhardtii,FreezingUnexposed
Melodorum uhrii,FreezingUnexposed
Melolobium microphyllum,FreezingExposed
Melothria pendula,FreezingExposed
Memecylon eduliforme,FreezingUnexposed
Memecylon fragrans,FreezingUnexposed
Memecylon garcinioides,FreezingUnexposed
Memecylon lateriflorum,FreezingUnexposed
Memecylon lilacinum,FreezingUnexposed
Memecylon membranifolium,FreezingUnexposed
Memecylon paniculatum,FreezingUnexposed
Memecylon sansibaricum,FreezingUnexposed
Memora adenophora,FreezingUnexposed
Memora cladotricha,FreezingUnexposed
Memora moringifolia,FreezingUnexposed
Mendoncia gigas,FreezingUnexposed
Mendoncia glabra,FreezingUnexposed
Mendoncia retusa,FreezingUnexposed
Menepetalum cathoides,FreezingUnexposed
Menepetalum schlechteri,FreezingUnexposed
Menodora heterophylla,FreezingExposed
Menodora scoparia,FreezingExposed
Menodora spinescens,FreezingExposed
Mentha aquatica,FreezingExposed
Mentha arvensis,FreezingExposed
Mentha canadensis,FreezingExposed
Mentha diemenica,FreezingExposed
Mentha longifolia,FreezingExposed
Mentha piperita,FreezingExposed
Mentha pulegium,FreezingExposed
Mentha saturejoides,FreezingExposed
Mentha spicata,FreezingExposed
Mentha suaveolens,FreezingExposed
Mentzelia albescens,FreezingExposed
Mentzelia albicaulis,FreezingExposed
Mentzelia aspera,FreezingExposed
Mentzelia congesta,FreezingExposed
Mentzelia decapetala,FreezingExposed
Mentzelia dispersa,FreezingExposed
Mentzelia gracilenta,FreezingExposed
Mentzelia hispida,FreezingUnexposed
Mentzelia laevicaulis,FreezingExposed
Mentzelia lindleyi,FreezingExposed
Mentzelia multiflora,FreezingExposed
Mentzelia nitens,FreezingExposed
Mentzelia nuda,FreezingExposed
Mentzelia oligosperma,FreezingExposed
Mentzelia torreyi,FreezingExposed
Menyanthes trifoliata,FreezingExposed
Menziesia ferruginea,FreezingExposed
Menziesia pilosa,FreezingExposed
Mercurialis annua,FreezingExposed
Mercurialis perennis,FreezingExposed
Meriania purpurea,FreezingUnexposed
Meriania urceolata,FreezingUnexposed
Merremia aegyptia,FreezingUnexposed
Merremia dissecta,FreezingUnexposed
Merremia palmeri,FreezingUnexposed
Merremia quinquefolia,FreezingUnexposed
Merremia umbellata,FreezingUnexposed
Mertensia virginica,FreezingExposed
Merxmuellera disticha,FreezingExposed
Merxmuellera lupulina,FreezingUnexposed
Merxmuellera stricta,FreezingExposed
Meryta sinclairii,FreezingUnexposed
Mesechites trifidus,FreezingUnexposed
Mesembryanthemum crystallinum,FreezingUnexposed
Mesembryanthemum nodiflorum,FreezingUnexposed
Mesogyne insignis,FreezingUnexposed
Mesomelaena tetragona,FreezingUnexposed
Mespilus germanica,FreezingExposed
Messerschmidia sibirica,FreezingExposed
Mesua ferrea,FreezingUnexposed
Mesua ferruginea,FreezingUnexposed
Mesua grandis,FreezingUnexposed
Metadina trichotoma,FreezingUnexposed
Metapanax davidii,FreezingExposed
Metaplexis japonica,FreezingExposed
Metasequoia glyptostroboides,FreezingExposed
Metopium brownei,FreezingUnexposed
Metopium toxiferum,FreezingUnexposed
Metrodorea flavida,FreezingUnexposed
Metrodorea stipularis,FreezingUnexposed
Metrosideros angustifolia,FreezingUnexposed
Metrosideros brevistylis,FreezingUnexposed
Metrosideros carminea,FreezingUnexposed
Metrosideros collina,FreezingUnexposed
Metrosideros dolichandra,FreezingUnexposed
Metrosideros engleriana,FreezingUnexposed
Metrosideros excelsa,FreezingUnexposed
Metrosideros kermadecensis,FreezingUnexposed
Metrosideros longipetiolata,FreezingUnexposed
Metrosideros microphylla,FreezingUnexposed
Metrosideros nitida,FreezingUnexposed
Metrosideros operculata,FreezingUnexposed
Metrosideros oreomyrtus,FreezingUnexposed
Metrosideros paniensis,FreezingUnexposed
Metrosideros parkinsonii,FreezingExposed
Metrosideros petiolata,FreezingUnexposed
Metrosideros polymorpha,FreezingUnexposed
Metrosideros porphyrea,FreezingUnexposed
Metrosideros punctata,FreezingUnexposed
Metrosideros ramiflora,FreezingUnexposed
Metrosideros robusta,FreezingUnexposed
Metrosideros scandens,FreezingExposed
Metrosideros tetrastichus,FreezingUnexposed
